Name,Materials,Industrials,Consumer Disc,Consumer Staples,Energy,Financial,Utilities,HealthCare\,Tech,Reits,Russell3k,SP500,FTSE AW ex US,MSCI EM,1M Tbill,MBS ETF,Int'l Bond,EMD Local FI,Junk Bonds,GOLD
Geography,US,US,US,US,US,US,US,US,US,US,US,US,International,EM,US,US,International,EM,US,US
Asset Class,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,EQT,FI,FI,FI,FI,FI,Comm
Earliest Ava,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,12/31/1998,4/27/2001,9/22/2010,9/9/2010,3/8/2007,3/23/2007,5/30/2007,11/23/2009,6/4/2013,2/24/2011,12/4/2007,11/18/2004
Latest,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019,1/31/2019
Ticker,XLB US Equity,XLI US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLU US Equity,XLV US Equity,XLK US Equity,RWR US Equity,VTWO US Equity,VOOG US Equity,VEU US Equity,SPEM US Equity,GB1M Index,VMBS US Equity,BNDX US Equity,EBND US Equity,JNK US Equity,GLD US Equity
Periodicity,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
2/16/1999,-0.009480952,0,0.012852336,0.011940287,-0.007054427,0.014943993,0.018190927,0.009302326,-0.004493794,,,,,,0.00012125,,,,,
2/17/1999,-0.01031161,0,-0.003462047,-0.010028545,-0.009940909,0.004019941,-0.007037568,-0.01036682,-0.022561733,,,,,,0.000119583,,,,,
2/18/1999,0.007442857,0.006379572,0.001159259,0.010725129,0.002869434,0.009999107,0.017992553,0.012803701,0.005540158,,,,,,0.000117917,,,,,
2/19/1999,0.008120513,0.015218785,0.005201378,-0.004128302,-0.005722448,0.003298304,-0.010712364,0.002872644,0.009182723,,,,,,0.000119222,,,,,
2/22/1999,0.016851009,-0.000623611,0.025301874,0.021314407,0.010069617,0.028949361,0.032485083,0.021206209,0.035485299,,,,,,0.000120889,,,,,
2/23/1999,-0.008645533,-0.0025,-0.005046771,-0.001736349,-0.008547009,0.012784914,-0.031463005,-0.001684397,0.013182425,,,,,,0.000120667,,,,,
2/24/1999,-0.002906977,-0.020050125,-0.012403134,-0.005809048,-0.004308046,-0.032825142,0.009203241,-0.011803474,-0.027753648,,,,,,0.000120417,,,,,
2/25/1999,0,0.003195908,-0.011415525,-0.011682243,0.00504703,-0.00652855,-0.021459227,-0.009672792,0.002674751,,,,,,0.00011875,,,,,
2/26/1999,0,-0.00063633,0.008661432,0.002954137,-0.006459735,0.018393852,0.006031579,0.002874672,-0.03024911,,,,,,0.000117083,,,,,
3/1/1999,-0.011661808,-0.008289796,0.000571493,-0.004714206,-0.010113295,0.003874708,-0.014714756,-0.001719126,-0.004585688,,,,,,0.000117028,,,,,
3/2/1999,-0.008849558,-0.005786746,0.00228833,-0.002959387,-0.01022129,0.002568103,-0.014934513,-0.000572805,-0.026729546,,,,,,0.000118694,,,,,
3/3/1999,-0.006695238,0.019402806,-0.005136073,0,0.022126254,-0.009614559,0.000564178,-0.006315488,0.017045455,,,,,,0.000120139,,,,,
3/4/1999,0.002996251,0.022209137,0.021226831,0.013658907,0.036072644,0.022655158,0.015712654,0.017909631,0.010243575,,,,,,0.000121528,,,,,
3/5/1999,0.033605934,0.005585593,0.030338876,0.015229511,0.018803343,0.025315887,0.01712439,0.022701434,0.023039966,,,,,,0.000123194,,,,,
3/8/1999,0.006501734,0.004938272,0.004362043,0.004616277,0.014352958,-0.006791799,-0.011405985,0.0011081,0.028828829,,,,,,0.000124861,,,,,
3/9/1999,-0.008614511,-0.001843735,0.002713567,0.001150604,-0.010781671,0.008082451,-0.002746374,-0.007758758,-0.010507881,,,,,,0.000125444,,,,,
3/10/1999,0.013759321,0.00123274,-0.002706224,-0.010901654,0.057220708,0.018494043,-0.003307545,0.008938532,0,,,,,,0.000124583,,,,,
3/11/1999,0.010715429,0.003072154,0.010857744,0.009859861,0.01417732,0.004842511,0.007740858,0.006644506,-0.001769912,,,,,,0.000124667,,,,,
3/12/1999,-0.004242539,-0.00245098,0.004296448,0.008616665,-0.003813969,0.001808971,0.010970917,-0.005502301,-0.008865248,,,,,,0.000124,,,,,
3/15/1999,0.002130308,-0.00675774,0.002139034,0.008543052,-0.007653061,0.003004768,0.002712097,0.003320354,0.016100179,,,,,,0.000123917,,,,,
3/16/1999,-0.004247025,-0.001852321,-0.005337878,0.004517218,-0.005141388,-0.014388183,-0.003788745,-0.002205068,0.017166197,,,,,,0.000123444,,,,,
3/17/1999,-0.002844944,0.00247831,-0.004291845,-0.01686519,0.025839793,-0.008514433,-0.009233251,-0.00552662,-0.006491385,,,,,,0.000122639,,,,,
3/18/1999,0.021395672,0.002472183,0.017241379,0.017154504,0.012594458,0.023311139,0.014803509,0.013888,0.013937282,,,,,,0.000124194,,,,,
3/19/1999,-0.002096089,-0.007398259,-0.014830508,-0.006184143,-0.013679602,-0.021584637,-0.024853139,-0.004383565,-0.024054983,,,,,,0.0001235,,,,,
3/22/1999,0.002799163,-0.023604425,-0.010752688,-0.000564706,0.00630314,0.002453348,0.003325876,-0.002750911,0,,,,,,0.0001245,,,,,
3/23/1999,-0.025122149,-0.002544529,-0.030434783,-0.028298333,-0.01754386,-0.034229087,-0.031473412,-0.027592053,-0.029047887,,,,,,0.000129333,,,,,
3/24/1999,0.000719256,0.010840816,-0.00784574,-0.00058148,-0.005102041,-0.002534083,0.013682985,0.004540287,0.01949009,,,,,,0.000130417,,,,,
